pattern,numerator,denominator,power,time frame,occurred
"(1, 7, 1)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 7, 1)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 7, 1)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 7, 1)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 7, 1)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 7, 3)",31.0,33.0,3.594228202637022e-05,10,33.0
"(1, 7, 3)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 7, 3)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 7, 3)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 7, 3)",33.0,33.0,1.708267089671249e-07,60,33.0
"(1, 7, 5)",27.0,29.0,0.00017680043967313957,10,29.0
"(1, 7, 5)",29.0,29.0,1.0683797540792245e-06,15,29.0
"(1, 7, 5)",29.0,29.0,1.0683797540792245e-06,20,29.0
"(1, 7, 5)",29.0,29.0,1.0683797540792245e-06,30,29.0
"(1, 7, 5)",29.0,29.0,1.0683797540792245e-06,60,29.0
"(1, 7, 7)",31.0,33.0,3.594228202637022e-05,10,33.0
"(1, 7, 7)",33.0,33.0,1.708267089671249e-07,15,33.0
"(1, 7, 7)",33.0,33.0,1.708267089671249e-07,20,33.0
"(1, 7, 7)",33.0,33.0,1.708267089671249e-07,30,33.0
"(1, 7, 7)",33.0,33.0,1.708267089671249e-07,60,33.0
"(2, 2, 2)",20.0,23.0,0.00845540133136828,5,23.0
"(2, 2, 2)",21.0,21.0,4.178906403852619e-05,10,23.0
"(2, 2, 2)",16.0,16.0,0.00041327091798290647,15,23.0
"(2, 2, 2)",15.0,15.0,0.0006535011082311695,20,23.0
"(2, 2, 2)",15.0,15.0,0.0006535011082311695,30,23.0
"(2, 2, 3)",21.0,24.0,0.006011893552812232,5,24.0
"(2, 2, 3)",22.0,22.0,2.6425387475462698e-05,10,24.0
"(2, 2, 3)",17.0,17.0,0.0002613427077912203,15,24.0
"(2, 2, 3)",16.0,16.0,0.00041327091798290647,20,24.0
"(2, 2, 3)",16.0,16.0,0.00041327091798290647,30,24.0
"(2, 2, 6)",22.0,26.0,0.011473485239964418,5,26.0
"(2, 2, 6)",22.0,23.0,0.00024987652684583796,10,26.0
"(2, 2, 6)",18.0,18.0,0.0001652640476289369,15,26.0
"(2, 2, 6)",16.0,16.0,0.00041327091798290647,20,26.0
"(2, 2, 6)",15.0,16.0,0.004497184152203379,30,26.0
"(2, 2, 7)",23.0,27.0,0.008358557521513427,5,27.0
"(2, 2, 7)",23.0,24.0,0.00016415330393624824,10,27.0
"(2, 2, 7)",19.0,19.0,0.00010450618610236765,15,27.0
"(2, 2, 7)",17.0,17.0,0.0002613427077912203,20,27.0
"(2, 2, 7)",16.0,17.0,0.002996050491241571,30,27.0
"(2, 3, 2)",20.0,23.0,0.00845540133136828,5,23.0
"(2, 3, 2)",21.0,21.0,4.178906403852619e-05,10,23.0
"(2, 3, 2)",16.0,16.0,0.00041327091798290647,15,23.0
"(2, 3, 2)",15.0,15.0,0.0006535011082311695,20,23.0
"(2, 3, 2)",15.0,15.0,0.0006535011082311695,30,23.0
"(2, 3, 3)",22.0,25.0,0.004255965992592287,5,25.0
"(2, 3, 3)",23.0,23.0,1.6710120546315935e-05,10,25.0
"(2, 3, 3)",18.0,18.0,0.0001652640476289369,15,25.0
